iata_code,name,active
L7,Linea Aerea SAPSA,N
L8,Line Blue,Y
L8,Air Luxor GB,N
L9,All Asia,Y
L9,Teamline Air,N
LA,LAN Airlines,Y
LB,Air Costa,Y
LB,Lloyd Aereo Boliviano,N
LC,Varig Log,Y
LD,Linea Turistica Aerotuy,N
LD,Air Hong Kong,N
LE,Liberty Airways,Y
LF,FlyNordic,Y
LG,Luxair,Y
LH,Lufthansa Cargo,Y
LH,Lufthansa,Y
LI,Leeward Islands Air Transport,Y
LJ,Sierra National Airlines,N
LJ,Jin Air,Y
LK,Air Luxor,Y
LL,Allegro,N
LM,Livingston,N
LM,Linhas A,Y
LN,Libyan Arab Airlines,Y
LO,LOT Polish Airlines,Y
LP,LAN Peru,Y
LQ,Lebanese Air Transport,N
LQ,LCM AIRLINES,Y
LR,LACSA,Y
LS,Jet2.com,Y
LT,LTU International,N
LT,Air Lituanica,Y
LU,LAN Express,Y
LV,Albanian Airlines,Y
LW,Pacific Wings,Y
LX,Swiss International Air Lines,Y
LY,El Al Israel Airlines,Y
LZ,Balkan Bulgarian Airlines,Y
M0,Aero Mongolia,N
M1,Maryland Air,Y
M2,MHS Aviation GmbH,Y
M2,Mahfooz Aviation,N
M3,North Flying,N
M3,ABSA - Aerolinhas Brasileiras,Y
M3,Air Service,N
M4,Nova Airline,N
M4,Marysya Airlines,Y
M5,Kenmore Air,Y
M6,Amerijet International,N
M7,MasAir,Y
M7,Tropical Airways,N
M7,Marsland Aviation,N
M8,TransNusa Air,Y
M8,Trans Maldivian Airways,N
M9,Motor Sich,Y
MA,Malév,Y
MB,MNG Airlines,Y
MB,Execair Aviation,N
MC,Air Mobility Command,N
MD,Air Madagascar,Y
ME,Middle East Airlines,Y
MF,Xiamen Airlines,Y
MG,Champion Air,N
MH,Malaysia Airlines,Y
MI,SilkAir,Y
MJ,L,Y
MK,Air Mauritius,Y
ML,Maldivo Airlines,Y
ML,African Transport Trading and Investment Company,N
MM,Peach Aviation,Y
MN,Comair,Y
MO,Abu Dhabi Amiri Flight,Y
MO,Calm Air,N
MP,Martinair,Y
MQ,American Eagle Airlines,Y
MR,Homer Air,Y
MR,Air Mauritanie,N
MS,Egyptair,Y
MT,Thomas Cook Airlines,Y
MU,China Eastern Airlines,Y
MV,Armenian International Airways,N
MW,Maya Island Air,Y
MX,Mexicana de Aviaci,Y
MY,Maxjet Airways,N
MY,Midwest Airlines (Egypt),Y
MZ,Merpati Nusantara Airlines,Y
N0,Norte Lineas Aereas,Y
N1,N1,Y
N2,Kabo Air,N
N2,Dagestan Airlines,N
N3,Omskavia Airline,N
N4,Minerva Airlines,N
N4,Mountain Air Company,N
N4,National Airlines,N
N4,Regionalia México,Y
N5,Skagway Air Service,Y
N5,Kyrgyz Airlines,N
N6,Aerocontinente (Priv),N
N6,Lagun Air,N
N6,Nuevo Continente,N
N7,All Spain,Y
N7,National Airlines,N
N8,Fika Salaama Airlines,N
N8,National Air Cargo,Y
N9,North Coast Aviation,N
N9,All Europe,Y
NB,Sterling Airlines,Y
NC,Northern Air Cargo,N
NC,National Jet Systems,Y
NE,SkyEurope,Y
NF,Air Vanuatu,Y
NG,Lauda Air,Y
NH,All Nippon Airways,Y
NI,Portugalia,Y
NJ,Nihon.jet,N
NJ,Nordic Global Airlines,Y
NK,Spirit Airlines,Y
NL,Shaheen Air International,Y
NM,Mount Cook Airlines,N
NM,Air Madrid,Y
NN,VIM Airlines,Y
NO,Neos,N
